Week,Age_group,positive_1_6_days_after_1st_dose,positive_7_13_days_after_1st_dose,positive_14_20_days_after_1st_dose,positive_above_20_days_after_1st_dose,positive_1_6_days_after_2nd_dose,positive_7_13_days_after_2nd_dose,positive_14_20_days_after_2nd_dose,positive_above_20_days_after_2nd_dose,Sum_positive_without_vaccination
2020-12-20 - 2020-12-26,0-19,,,,,,,,,7836
2020-12-20 - 2020-12-26,20-29,14.0,,,,,,,,4789
2020-12-20 - 2020-12-26,30-39,25.0,,,,,,,,3819
2020-12-20 - 2020-12-26,40-49,19.0,,,,,,,,3458
2020-12-20 - 2020-12-26,50-59,20.0,,,,,,,,2571
2020-12-20 - 2020-12-26,60-69,25.0,,,,,,,,1827
2020-12-20 - 2020-12-26,70-79,10.0,,,,,,,,922
2020-12-20 - 2020-12-26,80-89,<5,,,,,,,,424
2020-12-20 - 2020-12-26,90+,,,,,,,,,151
2020-12-27 - 2021-01-02,0-19,40.0,<5,,,,,,,12327
2020-12-27 - 2021-01-02,20-29,151.0,36.0,,,,,,,6410
2020-12-27 - 2021-01-02,30-39,124.0,82.0,,,,,,,5061
2020-12-27 - 2021-01-02,40-49,150.0,65.0,,,,,,,4182
2020-12-27 - 2021-01-02,50-59,176.0,79.0,,,,,,,3187
2020-12-27 - 2021-01-02,60-69,288.0,138.0,,,,,,,1927
2020-12-27 - 2021-01-02,70-79,167.0,58.0,,,,,,,985
2020-12-27 - 2021-01-02,80-89,74.0,21.0,,,,,,,444
2020-12-27 - 2021-01-02,90+,25.0,6.0,,,,,,,172
2021-01-03 - 2021-01-09,0-19,89.0,68.0,<5,,,,,,17677
2021-01-03 - 2021-01-09,20-29,275.0,239.0,22.0,,,,,,8612
2021-01-03 - 2021-01-09,30-39,292.0,318.0,37.0,,,,,,6413
2021-01-03 - 2021-01-09,40-49,383.0,432.0,62.0,,,,,,5304
2021-01-03 - 2021-01-09,50-59,475.0,491.0,63.0,,,,,,3382
2021-01-03 - 2021-01-09,60-69,469.0,806.0,130.0,,,,,,1632
2021-01-03 - 2021-01-09,70-79,246.0,458.0,61.0,,,,,,715
2021-01-03 - 2021-01-09,80-89,215.0,236.0,13.0,,,,,,381
2021-01-03 - 2021-01-09,90+,81.0,117.0,<5,,,,,,123
2021-01-10 - 2021-01-16,0-19,39.0,131.0,40.0,,,,,,21605
2021-01-10 - 2021-01-16,20-29,139.0,437.0,112.0,5.0,<5,,,,9310
2021-01-10 - 2021-01-16,30-39,166.0,481.0,185.0,11.0,<5,,,,7045
2021-01-10 - 2021-01-16,40-49,284.0,718.0,272.0,23.0,11.0,,,,5474
2021-01-10 - 2021-01-16,50-59,287.0,959.0,354.0,22.0,10.0,,,,3374
2021-01-10 - 2021-01-16,60-69,188.0,999.0,686.0,42.0,16.0,,,,1337
2021-01-10 - 2021-01-16,70-79,91.0,588.0,415.0,37.0,<5,,,,606
2021-01-10 - 2021-01-16,80-89,53.0,333.0,266.0,9.0,8.0,,,,296
2021-01-10 - 2021-01-16,90+,20.0,142.0,76.0,<5,<5,,,,111
2021-01-17 - 2021-01-23,0-19,62.0,75.0,46.0,16.0,6.0,<5,,,19213
2021-01-17 - 2021-01-23,20-29,194.0,199.0,170.0,35.0,26.0,5.0,,,8145
2021-01-17 - 2021-01-23,30-39,125.0,234.0,203.0,55.0,37.0,6.0,,,5935
2021-01-17 - 2021-01-23,40-49,244.0,411.0,331.0,82.0,77.0,14.0,,,4393
2021-01-17 - 2021-01-23,50-59,283.0,564.0,553.0,118.0,66.0,17.0,,,2503
2021-01-17 - 2021-01-23,60-69,72.0,354.0,722.0,170.0,152.0,20.0,,,1134
