first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-15,2020-03-21,0-19,זכר,1028,32.0,0.0
2020-03-15,2020-03-21,0-19,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,0-19,נקבה,837,34.0,0.0
2020-03-15,2020-03-21,20-24,זכר,657,98.0,0.0
2020-03-15,2020-03-21,20-24,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,20-24,נקבה,614,36.0,0.0
2020-03-15,2020-03-21,25-29,זכר,569,51.0,0.0
2020-03-15,2020-03-21,25-29,נקבה,747,49.0,0.0
2020-03-15,2020-03-21,30-34,זכר,615,56.0,0.0
2020-03-15,2020-03-21,30-34,נקבה,679,32.0,0.0
2020-03-15,2020-03-21,35-39,זכר,542,44.0,0.0
2020-03-15,2020-03-21,35-39,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,35-39,נקבה,551,31.0,0.0
2020-03-15,2020-03-21,40-44,זכר,415,35.0,0.0
2020-03-15,2020-03-21,40-44,נקבה,460,16.0,0.0
2020-03-15,2020-03-21,45-49,זכר,331,34.0,0.0
2020-03-15,2020-03-21,45-49,נקבה,406,17.0,0.0
2020-03-15,2020-03-21,50-54,זכר,278,30.0,0.0
2020-03-15,2020-03-21,50-54,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,50-54,נקבה,378,23.0,0.0
2020-03-15,2020-03-21,55-59,זכר,200,27.0,0.0
2020-03-15,2020-03-21,55-59,נקבה,349,23.0,0.0
2020-03-15,2020-03-21,60-64,זכר,224,19.0,0.0
2020-03-15,2020-03-21,60-64,נקבה,310,22.0,0.0
2020-03-15,2020-03-21,65-69,זכר,270,35.0,0.0
2020-03-15,2020-03-21,65-69,נקבה,234,15.0,0.0
2020-03-15,2020-03-21,70-74,זכר,203,26.0,0.0
2020-03-15,2020-03-21,70-74,נקבה,163,16.0,0.0
2020-03-15,2020-03-21,75-79,זכר,114,<15,0.0
2020-03-15,2020-03-21,75-79,נקבה,92,<15,0.0
2020-03-15,2020-03-21,80+,זכר,201,<15,<15
2020-03-15,2020-03-21,80+,נקבה,247,<15,0.0
2020-03-15,2020-03-21,NULL,זכר,204,<15,0.0
2020-03-15,2020-03-21,NULL,לא ידוע,41,0.0,0.0
2020-03-15,2020-03-21,NULL,נקבה,211,<15,0.0
2020-03-22,2020-03-28,0-19,זכר,2281,176.0,0.0
2020-03-22,2020-03-28,0-19,לא ידוע,16,<15,0.0
2020-03-22,2020-03-28,0-19,נקבה,2062,152.0,0.0
2020-03-22,2020-03-28,20-24,זכר,1925,210.0,0.0
2020-03-22,2020-03-28,20-24,לא ידוע,30,0.0,0.0
2020-03-22,2020-03-28,20-24,נקבה,2035,154.0,0.0
2020-03-22,2020-03-28,25-29,זכר,1899,164.0,0.0
2020-03-22,2020-03-28,25-29,לא ידוע,16,0.0,0.0
2020-03-22,2020-03-28,25-29,נקבה,2153,122.0,0.0
2020-03-22,2020-03-28,30-34,זכר,1772,134.0,0.0
2020-03-22,2020-03-28,30-34,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,30-34,נקבה,1778,117.0,0.0
2020-03-22,2020-03-28,35-39,זכר,1470,117.0,0.0
2020-03-22,2020-03-28,35-39,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,35-39,נקבה,1524,82.0,0.0
2020-03-22,2020-03-28,40-44,זכר,1181,99.0,0.0
2020-03-22,2020-03-28,40-44,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,40-44,נקבה,1267,73.0,0.0
2020-03-22,2020-03-28,45-49,זכר,996,118.0,0.0
2020-03-22,2020-03-28,45-49,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,45-49,נקבה,1188,86.0,0.0
2020-03-22,2020-03-28,50-54,זכר,747,103.0,0.0
2020-03-22,2020-03-28,50-54,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,50-54,נקבה,1108,107.0,0.0
2020-03-22,2020-03-28,55-59,זכר,755,149.0,<15
2020-03-22,2020-03-28,55-59,לא ידוע,<15,<15,0.0
2020-03-22,2020-03-28,55-59,נקבה,989,79.0,0.0
