Date,severe_new
15/03/2020,3
16/03/2020,2
17/03/2020,1
18/03/2020,2
19/03/2020,5
20/03/2020,3
21/03/2020,3
22/03/2020,10
23/03/2020,6
24/03/2020,6
25/03/2020,5
26/03/2020,9
27/03/2020,11
28/03/2020,5
29/03/2020,13
30/03/2020,9
31/03/2020,16
01/04/2020,24
02/04/2020,13
03/04/2020,20
04/04/2020,15
05/04/2020,5
06/04/2020,23
07/04/2020,17
08/04/2020,18
09/04/2020,16
10/04/2020,11
11/04/2020,26
12/04/2020,21
13/04/2020,29
14/04/2020,5
15/04/2020,15
16/04/2020,9
17/04/2020,8
18/04/2020,14
19/04/2020,8
20/04/2020,6
21/04/2020,9
22/04/2020,10
23/04/2020,3
24/04/2020,8
25/04/2020,4
26/04/2020,7
27/04/2020,2
28/04/2020,5
29/04/2020,6
30/04/2020,5
01/05/2020,4
02/05/2020,2
03/05/2020,1
04/05/2020,1
05/05/2020,0
06/05/2020,1
07/05/2020,1
08/05/2020,3
09/05/2020,0
10/05/2020,4
11/05/2020,3
12/05/2020,2
13/05/2020,1
14/05/2020,1
15/05/2020,0
16/05/2020,0
17/05/2020,4
18/05/2020,2
19/05/2020,1
20/05/2020,0
21/05/2020,0
22/05/2020,0
23/05/2020,0
24/05/2020,0
25/05/2020,1
26/05/2020,0
27/05/2020,2
28/05/2020,0
29/05/2020,1
30/05/2020,0
31/05/2020,1
01/06/2020,0
02/06/2020,1
03/06/2020,0
04/06/2020,3
05/06/2020,0
06/06/2020,3
07/06/2020,5
08/06/2020,1
09/06/2020,3
10/06/2020,1
11/06/2020,4
12/06/2020,2
13/06/2020,1
14/06/2020,3
15/06/2020,8
16/06/2020,2
17/06/2020,2
18/06/2020,4
19/06/2020,4
20/06/2020,3
21/06/2020,7
22/06/2020,2
23/06/2020,3
24/06/2020,4
25/06/2020,5
26/06/2020,6
27/06/2020,1
28/06/2020,5
29/06/2020,6
30/06/2020,12
01/07/2020,7
02/07/2020,18
03/07/2020,7
04/07/2020,9
05/07/2020,16
06/07/2020,11
07/07/2020,14
08/07/2020,25
09/07/2020,35
10/07/2020,15
11/07/2020,18
12/07/2020,31
13/07/2020,42
14/07/2020,33
15/07/2020,34
16/07/2020,28
17/07/2020,26
18/07/2020,28
19/07/2020,67
20/07/2020,39
21/07/2020,37
22/07/2020,56
23/07/2020,57
24/07/2020,36
25/07/2020,23
26/07/2020,36
27/07/2020,47
28/07/2020,49
29/07/2020,47
30/07/2020,34
31/07/2020,28
01/08/2020,42
02/08/2020,45
03/08/2020,38
04/08/2020,53
05/08/2020,34
06/08/2020,38
07/08/2020,39
08/08/2020,42
09/08/2020,45
10/08/2020,39
11/08/2020,45
12/08/2020,40
13/08/2020,43
14/08/2020,38
15/08/2020,34
16/08/2020,49
17/08/2020,47
18/08/2020,51
19/08/2020,36
20/08/2020,47
21/08/2020,35
22/08/2020,26
23/08/2020,63
24/08/2020,57
25/08/2020,45
26/08/2020,44
27/08/2020,53
28/08/2020,45
29/08/2020,34
30/08/2020,54
31/08/2020,51
01/09/2020,39
02/09/2020,51
03/09/2020,31
04/09/2020,54
05/09/2020,53
06/09/2020,59
07/09/2020,54
08/09/2020,60
09/09/2020,78
10/09/2020,68
11/09/2020,45
12/09/2020,61
13/09/2020,65
14/09/2020,75
15/09/2020,62
16/09/2020,88
17/09/2020,91
18/09/2020,83
19/09/2020,86
20/09/2020,80
21/09/2020,115
22/09/2020,98
23/09/2020,97
24/09/2020,98
25/09/2020,121
26/09/2020,93
27/09/2020,124
28/09/2020,93
29/09/2020,133
30/09/2020,127
01/10/2020,125
02/10/2020,105
03/10/2020,89
04/10/2020,139
05/10/2020,119
06/10/2020,92
07/10/2020,94
08/10/2020,104
09/10/2020,78
10/10/2020,65
11/10/2020,107
12/10/2020,77
13/10/2020,76
14/10/2020,75
15/10/2020,64
16/10/2020,46
17/10/2020,45
18/10/2020,73
19/10/2020,57
20/10/2020,52
21/10/2020,48
22/10/2020,44
23/10/2020,36
24/10/2020,36
25/10/2020,32
26/10/2020,42
27/10/2020,40
28/10/2020,28
29/10/2020,21
30/10/2020,17
31/10/2020,22
01/11/2020,35
02/11/2020,35
03/11/2020,31
04/11/2020,20
05/11/2020,14
06/11/2020,25
07/11/2020,20
08/11/2020,27
09/11/2020,22
10/11/2020,19
11/11/2020,27
12/11/2020,29
13/11/2020,22
14/11/2020,17
15/11/2020,30
16/11/2020,35
17/11/2020,23
18/11/2020,28
19/11/2020,27
20/11/2020,19
21/11/2020,26
22/11/2020,32
23/11/2020,28
24/11/2020,22
